"Gene","n","rank"
"LOC100287036",2,931
"LOC100505696",2,932
"LOC100505894",2,933
"LOC100506100",2,934
"LOC100652739",2,935
"LOC152217",2,936
"LOC286190",2,937
"LOC391322",2,938
"LOC440297",2,939
"LOC440300",2,940
"LOC643406",2,941
"MORN2",2,942
"NDUFA7",2,943
"NPM3",2,944
"NUDT8",2,945
"OCLM",2,946
"OR52B6",2,947
"OR5P3",2,948
"OR6V1",2,949
"PCNA-AS1",2,950
"PEMT",2,951
"PILRB",2,952
"PTTG3P",2,953
"RPL13AP6",2,954
"SDHAF1",2,955
"SLC35G3",2,956
"SMCR5",2,957
"SND1-IT1",2,958
"SPDYE6",2,959
"SRRM5",2,960
"TAS2R3",2,961
"TAS2R46",2,962
"TBC1D3",2,963
"TCEAL3",2,964
"TMEM14E",2,965
"TRAPPC2P1",2,966
"TYSND1",2,967
"ZDHHC24",2,968
"ZNF570",2,969
"ZNF589",2,970
"ZNF624",2,971
"ZNF658B",2,972
"ZNF75A",2,973
"ZNF789",2,974
"ACOT7",1,975
"ADAM1",1,976
"APH1B",1,977
"ARL13A",1,978
"ASB9P1",1,979
"ATPAF1-AS1",1,980
"B3GALT2",1,981
"BOLA1",1,982
"BTD",1,983
"C11orf34",1,984
"C11orf71",1,985
"C14orf80",1,986
"C17orf47",1,987
"C17orf61",1,988
"C8orf39",1,989
"C9orf84",1,990
"CCDC106",1,991
"CIRBP-AS1",1,992
"CLDN20",1,993
"CLIP2",1,994
"CNO",1,995
"CRYL1",1,996
"CYP2F1",1,997
"DCDC2B",1,998
"DDTL",1,999
"DGCR6",1,1000
"DNAH1",1,1001
"DPM3",1,1002
"EIF4EBP3",1,1003
"EYS",1,1004
"FAM22A",1,1005
"FBXW4P1",1,1006
"FBXW9",1,1007
"FKBP1A-SDCBP2",1,1008
"FKBP6",1,1009
"FKSG29",1,1010
"FLJ35282",1,1011
"FLJ42393",1,1012
"GCFC1-AS1",1,1013
"GOLGA2P5",1,1014
"GOLGA6L1",1,1015
"GOLGA6L5",1,1016
"GOLGA6L6",1,1017
"GOLGA6L9",1,1018
"GOLGA8B",1,1019
"GP1BA",1,1020
"GPR21",1,1021
"GPR52",1,1022
"H2AFX",1,1023
"HHIPL1",1,1024
"HINT2",1,1025
"HIST1H2AD",1,1026
"HIST1H4D",1,1027
"HIST1H4J",1,1028
"HIST3H2A",1,1029
"HNF4A",1,1030
"INE1",1,1031
"KCNJ13",1,1032
"KCNRG",1,1033
"KCTD1",1,1034
"KCTD4",1,1035
"LDHAL6B",1,1036
"LGALS1",1,1037
"LINC00115",1,1038
"LINC00470",1,1039
"LOC100131094",1,1040
"LOC100131434",1,1041
"LOC100131496",1,1042
"LOC100134317",1,1043
"LOC100289511",1,1044
"LOC100506207",1,1045
"LOC100506585",1,1046
"LOC143666",1,1047
